Canonical Object ID,Title,Brand / Promoter,Date Text,Object Type,Source Occurrence Count,Member Record IDs,Duplicate Group,Canonical Decision,Confidence,Rights Code,Research Status,Object URL,Category ID,Primary Category
OBJ-0001,1996 GT/Dyno — The BMX & Freestyle Catalog,GT; Dyno,1996,Catalog,2,EPH-0001 | EPH-0018,DUP-GTD-1996,MERGE identity; preserve source occurrence,MEDIUM,INDEX-ONLY,Lead — locate exact reference ID and edition/page count.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0001,PKR-CAT-001,Catalogs and product literature
OBJ-0002,1992 GT/Dyno Product Catalog,GT; Dyno,1992,Catalog,2,EPH-0002 | EPH-0017,DUP-GTD-1992,MERGE identity; preserve source occurrence,MEDIUM,INDEX-ONLY,Lead — locate exact reference and compare with independent catalog archives.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0002,PKR-CAT-001,Catalogs and product literature
OBJ-0003,1999 GT/Dyno BMX/Freestyle — Part 2,GT; Dyno,1999,Catalog,2,EPH-0003 | EPH-0019,DUP-GTD-1999-P2,MERGE identity; preserve source occurrence,LOW-MEDIUM,INDEX-ONLY,"Lead — locate part 1, exact reference IDs and page ranges.",https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0003,PKR-CAT-001,Catalogs and product literature
OBJ-0004,1990 Haro BMX Catalog,Haro,1990,Catalog,2,EPH-0004 | EPH-0023,DUP-HARO-1990-CAT,MERGE identity; preserve source occurrence,LOW-MEDIUM,INDEX-ONLY,Verified catalog existence — recover exact BMXMuseum ID and compare editions/pages.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0004,PKR-CAT-001,Catalogs and product literature
OBJ-0005,1987 Dia-Compe 182 Aerial Brake Lever,Dia-Compe,1987,Product literature,1,EPH-0005,,RETAIN — unique source record,MEDIUM,INDEX-ONLY,"Lead — identify publication, page and exact BMXMuseum reference.",https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0005,PKR-CAT-001,Catalogs and product literature
OBJ-0006,Ashtabula component catalog,Ashtabula,circa 1977 (unverified),Catalog,2,EPH-0006 | EPH-0031,DUP-ASHT-5027,MERGE identity; preserve source occurrence,HIGH for object; MEDIUM for date,INDEX-ONLY,Exact reference recovered — inspect edition/page structure only through permitted access.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0006,PKR-CAT-001,Catalogs and product literature
OBJ-0007,1997 Hoffman catalog — George model specification,Hoffman Bikes,1997,Catalog,1,EPH-0007,,RETAIN — unique source record,HIGH for reference existence; MEDIUM for interpreted model data,INDEX-ONLY,Open — record exact page and compare with other Hoffman catalogs.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0007,PKR-CAT-001,Catalogs and product literature
OBJ-0008,Tioga Rhino III frame advertisement,Tioga; Tange,1983 lead,Magazine advertisement,1,EPH-0008,,RETAIN — unique source record,LOW-MEDIUM,INDEX-ONLY,"Lead — recover exact thread, magazine issue and page.",https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0008,PKR-CAT-002,Advertisements and price lists
OBJ-0009,First Torker advertisement in BMX Weekly,Torker,December 1976,Magazine advertisement,2,EPH-0009 | EPH-0047,DUP-TORKER-FIRST-AD,MERGE identity; preserve source occurrence,MEDIUM-HIGH,INDEX-ONLY,Priority — locate the period issue and ad image lawfully.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0009,PKR-CAT-002,Advertisements and price lists
OBJ-0010,First Red Line magazine advertisement featuring John Palfreyman,Red Line; John Palfreyman,1970s; exact issue pending,Magazine advertisement,2,EPH-0010 | EPH-0037,DUP-REDLINE-FIRST-AD,MERGE identity; preserve source occurrence,HIGH for relationship; MEDIUM for bibliographic detail,INDEX-ONLY,"Priority — identify magazine, issue, page and product shown.",https://article134-tech.github.io/lititzbmx-public-knowledge-register/objects/index.html#OBJ-0010,PKR-CAT-002,Advertisements and price lists
