Chronology ID,Start Year,End Year,Date Text,Brand / Promoter,Title,Object Type,Source Stage,Master ID,Duplicate Group,Confidence,Source URL,Chronology Note
CHR-004,1970,1970,1970s onward,Mongoose,Vintage Mongoose catalog and dealer-price archive,Archive collection,v0.8,EPH-0039,,HIGH for archive scope,https://www.vintagemongoose.com/,Dated/period placement
CHR-002,1970,1970,1970s; exact issue open,Redline,First Red Line magazine advertisement featuring John Palfreyman,Magazine advertisement,v0.8,EPH-0037,DUP-REDLINE-FIRST-AD,HIGH for relationship; MEDIUM for object,https://www.usabmx.com/news-and-media/6/2012-05-10/National-BMX-Hall-of-Fame-2012-Inductees-Announced?id=580,Year is provisional
CHR-001,1970,1970,1970s; exact issue pending,Red Line; John Palfreyman,First Red Line magazine advertisement featuring John Palfreyman,Magazine advertisement,v0.5 inherited,EPH-0010,DUP-REDLINE-FIRST-AD,HIGH for relationship; MEDIUM for bibliographic detail,https://bmxmuseum.com/bikes/redline/,Dated/period placement
CHR-003,1970,1970,Late 1970s,SE Racing,PK Ripper late-1970s debut,Product-history object,v0.8,EPH-0043,,MEDIUM-HIGH,https://www.sebikes.com/blogs/news/elite-race-series,Dated/period placement
CHR-008,1976,1984,1976–1984,Torker,Fullerton-era Torker model archive,Model archive,v0.8,EPH-0048,,HIGH for archive role,https://torkerracing.com/pages/torker-bmx-models,Dated/period placement
CHR-005,1976,1976,1976–77,Mongoose,1976–77 Bicycle and Components Catalog,Manufacturer catalog,v0.8,EPH-0040,,HIGH,https://www.vintagemongoose.com/pdfs/mongoose_cat76-77.pdf,Dated/period placement
CHR-009,1976,1976,1976–77,Mongoose; Ashtabula/Cecor,Mongoose 1976–77 accessories — Ashtabula/Cecor pedals,Manufacturer/distributor catalog page,v0.7,EPH-0035,,MEDIUM-HIGH,https://www.vintagemongoose.com/pdfs/mongoose_cat76-77.pdf,Dated/period placement
CHR-006,1976,1976,December 1976,Torker,First Torker advertisement in BMX Weekly,Magazine advertisement,v0.5 inherited,EPH-0009,DUP-TORKER-FIRST-AD,MEDIUM-HIGH,https://torkerracing.com/pages/the-fullerton-era-torker-bmx-history,Dated/period placement
CHR-007,1976,1976,December 1976,Torker,First Torker advertisement in BMX Weekly,Magazine advertisement,v0.8,EPH-0047,DUP-TORKER-FIRST-AD,MEDIUM-HIGH,https://torkerracing.com/pages/the-fullerton-era-torker-bmx-history,Dated/period placement
CHR-010,1977,1977,circa 1977 (unverified),Ashtabula,Ashtabula component catalog,Catalog,v0.5 inherited,EPH-0006,DUP-ASHT-5027,HIGH for object; MEDIUM for date,https://bmxmuseum.com/reference/5027,Year is provisional
CHR-011,1977,1977,circa 1977; date provisional,Ashtabula,Ashtabula component catalog,Component catalog,v0.7,EPH-0031,DUP-ASHT-5027,HIGH for ID; MEDIUM for date,https://bmxmuseum.com/reference/5027,Year is provisional
CHR-012,1977,1977,circa 1977; interpretation,Ashtabula,Ashtabula crank length range,Catalog claim,v0.7,EPH-0032,,MEDIUM,https://thecabe.com/forum/threads/ashtabula-fork-identification-help.253603/,Year is provisional
CHR-013,1977,1977,circa 1977; interpretation,Ashtabula,Ashtabula fork sizing and 6-3/4-inch steerer discussion,Catalog claim,v0.7,EPH-0033,,MEDIUM,https://thecabe.com/forum/threads/ashtabula-fork-identification-help.253603/,Year is provisional
CHR-014,1978,1978,1978,Redline,1978 Redline product catalog,Product catalog,v0.8,EPH-0036,,MEDIUM-HIGH,https://www.redlinevintagebmx.com/redline-history,Dated/period placement
CHR-016,1979,1979,1979/80,Mongoose,1979/80 Bicycle and Components Catalog,Manufacturer catalog,v0.8,EPH-0041,,HIGH,https://www.vintagemongoose.com/pdfs/mongoose_cat79-80.pdf,Dated/period placement
CHR-018,1979,1979,1979/80,Mongoose; Ashtabula,Mongoose 1979/80 catalog — Ashtabula one-piece cranks,Manufacturer/distributor catalog page,v0.7,EPH-0034,,HIGH,https://www.vintagemongoose.com/pdfs/mongoose_cat79-80.pdf,Dated/period placement
CHR-015,1979,1980,1979–1980,Torker,1979 National Number One team / 1980 world-pro chronology,Factory-team history,v0.8,EPH-0049,,MEDIUM-HIGH,https://torkerracing.com/blogs/news/torker-bmx-number-one-team-in-america,Dated/period placement
CHR-017,1979,1979,July 1979 issue; ran over multiple months,JMC Racing,July 1979 JMC advertisement,Magazine advertisement,v0.5 inherited,EPH-0013,,HIGH for bibliographic identity,https://jmcbmx.wordpress.com/2010/02/03/july-1979-advertisement/,Dated/period placement
CHR-019,1979,1979,Since early 1979,SE Racing,Perry Kramer initials on PK Ripper,Rider/model naming history,v0.8,EPH-0044,,HIGH for relationship,https://www.sebikes.com/pages/perry-kramer,Dated/period placement
CHR-020,1980,1980,1980,JMC Racing; Bicycle Harbor of Arizona; Matt Raymer,JMC 3.1 XL naming-contest announcement,Promotional announcement / naming contest,v0.5 inherited,EPH-0016,,HIGH for historical claim; LOW for object recovery,https://jmcbmx.wordpress.com/about/,Dated/period placement
CHR-021,1981,1981,1981,JMC Racing; JMC Factory Team,1981 JMC Factory Team advertisement,Team advertisement,v0.5 inherited,EPH-0015,,MEDIUM-HIGH,https://jmcbmx.wordpress.com/2010/02/03/81-jmc-factory-team-advertisement/,Dated/period placement
CHR-022,1981,1981,April 1981; appeared in multiple months,JMC Racing; Black Shadow; 3.1 XL,April 1981 JMC advertisement,Magazine advertisement,v0.5 inherited,EPH-0014,,HIGH for source/date; MEDIUM-HIGH for summarized claims,https://jmcbmx.wordpress.com/2010/02/03/april-1981-advertisement/,Dated/period placement
CHR-025,1982,1982,1982,Diamond Back,Free Diamond Back and Pro Star info pack and decal,Information-pack mailer,v0.8,EPH-0046,DUP-DB-INFO-PACK,HIGH for offer,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-028,1982,1982,1982,Diamond Back,Silver Streak team advertisement and product naming,Team/product advertisement,v0.8,EPH-0045,,HIGH for period object,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-024,1982,1982,1982 campaign,Diamond Back; Pro Star,Diamond Back and Pro Star Info Pack & Decal,Information-pack mailer,v0.9,EPH-0054,DUP-DB-INFO-PACK,HIGH for offer,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0062,1982,1982,April/May 1982,Midlands Cycles; Suntour; Araya; MKS,Midlands Cycles BMX mail-order special offers,Retailer advertisement / price list,v1.1 expansion,EPH-0062,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0063,1982,1982,April/May 1982,Serval Marketing; JT Racing; AME; Oakley; Johar,Serval Marketing BMX product list and recommended-prices offer,Information-pack mailer,v1.1 expansion,EPH-0063,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0064,1982,1982,April/May 1982,Strongs Cycles; Kuwahara; Red Line; Dia-Compe,Strongs Cycles Kuwahara and Red Line frame/component advertisement,Retailer advertisement / price list,v1.1 expansion,EPH-0064,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0065,1982,1982,April/May 1982,Gecko Leisure Products; Redline; Kuwahara; Race Inc.; MCS,Gecko BMX product range and free Redline/Kuwahara patch offer,Dealer/shop advertisement,v1.1 expansion,EPH-0065,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0066,1982,1982,April/May 1982,Hotshot BMX; Mongoose; Redline; Kuwahara; Diamond Back; GT,Hotshot BMX complete-bike special and free price-list/sticker offer,Dealer price-list / sticker offer,v1.1 expansion,EPH-0066,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0067,1982,1982,April/May 1982,BMX Action Bike; London Dungeon,BMX Action Bike London Dungeon caption competition,Contest entry form / promotion,v1.1 expansion,EPH-0067,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0068,1982,1982,April/May 1982,BMX Action Bike; GT,BMX Action Bike GT Pro 4 bicycle giveaway,Contest entry form,v1.1 expansion,EPH-0068,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0069,1982,1982,April/May 1982,"Kenda; Moore, Large & Co.",Kenda Karate free sticker mailer,Information-pack mailer,v1.1 expansion,EPH-0069,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0070,1982,1982,April/May 1982,BMX Action Bike; UKBMX Publications,BMX Action Bike track and club list mailer,Catalog mailer,v1.1 expansion,EPH-0070,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0071,1982,1982,April/May 1982,SJK Products,SJK Hurricane complete bike and frame-kit advertisement,Product literature,v1.1 expansion,EPH-0071,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0072,1982,1982,April/May 1982,CAMM Distributing,CAMM Power Stem dealer advertisement,Retailer advertisement / price list,v1.1 expansion,EPH-0072,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0073,1982,1982,April/May 1982,Diamond Back; BMX Action Bike,Diamond Back Silver Streak test report and projected retail price,Product-history object,v1.1 expansion,EPH-0073,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0074,1982,1982,April/May 1982,UKBMX,UKBMX membership and racing-licence application form,Event registration coupon,v1.1 expansion,EPH-0074,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0075,1982,1982,April/May 1982,BMX Action Bike; UKBMX Publications,BMX Action Bike back-issue mailer,Catalog mailer,v1.1 expansion,EPH-0075,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0076,1982,1982,April/May 1982,Stronglite; Paul Harvey,Stronglite prototype frame and fork announcement,Product announcement / kit,v1.1 expansion,EPH-0076,,MEDIUM,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0077,1982,1982,April/May 1982,Prolite; Freewheeler,Prolite racing helmet retailer offer,Retailer advertisement / price list,v1.1 expansion,EPH-0077,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0078,1982,1982,April/May 1982,Pacer; Gecko,Pacer racing gloves retailer offer,Retailer advertisement / price list,v1.1 expansion,EPH-0078,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0079,1982,1982,April/May 1982,BMX Action Bike; UKBMX Publications,BMX Action Bike assorted sticker packet offer,Information-pack mailer,v1.1 expansion,EPH-0079,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0080,1982,1982,April/May 1982,MX 1000; retailer unresolved from indexed alignment,MX 1000 brake-pair and BMX catalogue offer,Dealer price-list / sticker offer,v1.1 expansion,EPH-0080,,MEDIUM-HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,Dated/period placement
CHR-0109,1982,1982,August/September 1982,Puch Murray,Puch Murray 20-inch and 24-inch BMX range advertisement,Magazine advertisement,v1.1 chronological census,EPH-0109,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,Dated period-publication placement
CHR-0110,1982,1982,August/September 1982,Diamond Back; Pro-Star; Freewheeler,Diamond Back Silver Streak and Pro-Star information-pack offer,Information-pack mailer,v1.1 chronological census,EPH-0110,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,Dated period-publication placement
CHR-0111,1982,1982,August/September 1982,Kenda; Moore Large,Kenda Karate tyre advertisement,Magazine advertisement,v1.1 chronological census,EPH-0111,,HIGH,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,Dated period-publication placement
