Claim ID,Item Type,Item ID,Item Label,Item URL,Item Status,Item Note
PKR-CLM-001,Source record,EPH-0001,1996 GT/Dyno — The BMX & Freestyle Catalog,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0001/,Lead — locate exact reference ID and edition/page count.,Public indexing exposes the title and BMXMuseum provenance but not a reliable reference ID or complete page set.
PKR-CLM-001,Source record,EPH-0002,1992 GT/Dyno Product Catalog,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0002/,Lead — locate exact reference and compare with independent catalog archives.,Title is publicly indexed; exact reference ID and completeness remain unresolved.
PKR-CLM-001,Source record,EPH-0003,1999 GT/Dyno BMX/Freestyle — Part 2,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0003/,"Lead — locate part 1, exact reference IDs and page ranges.",Only the indexed title is presently recoverable.
PKR-CLM-001,Source record,EPH-0004,1990 Haro BMX Catalog,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0004/,Verified catalog existence — recover exact BMXMuseum ID and compare editions/pages.,Haro's official BMX archive independently lists a 1990 PDF catalog. The BMXMuseum reference ID and document completeness remain unresolved.
PKR-CLM-001,Source record,EPH-0005,1987 Dia-Compe 182 Aerial Brake Lever,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0005/,"Lead — identify publication, page and exact BMXMuseum reference.","Indexed title only; the object may be a catalog page, advertisement or product reference."
PKR-CLM-001,Source record,EPH-0006,Ashtabula component catalog,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0006/,Exact reference recovered — inspect edition/page structure only through permitted access.,Two independent technical discussions cite the exact BMXMuseum reference 5027 and describe catalog fork data. The edition date remains approximate.
PKR-CLM-001,Source record,EPH-0007,1997 Hoffman catalog — George model specification,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0007/,Open — record exact page and compare with other Hoffman catalogs.,An external forum cites the exact BMXMuseum reference for the Hoffman George. The full catalog title and edition need confirmation.
PKR-CLM-001,Source record,EPH-0008,Tioga Rhino III frame advertisement,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0008/,"Lead — recover exact thread, magazine issue and page.",An external old-school BMX advertisement blog links to an unresolved BMXMuseum forum discussion. The original ad and publication must be identified.
PKR-CLM-001,Source record,EPH-0009,First Torker advertisement in BMX Weekly,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0009/,Priority — locate the period issue and ad image lawfully.,Current official Torker history states the first ad date; the actual BMXMuseum object and magazine page remain to be located.
PKR-CLM-001,Source record,EPH-0010,First Red Line magazine advertisement featuring John Palfreyman,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0010/,"Priority — identify magazine, issue, page and product shown.",USA BMX officially states Palfreyman appeared in the first Red Line magazine ad; exact publication/date/page still need recovery.
PKR-CLM-001,Source record,EPH-0011,JMC Racing Fliers and Price List,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0011/,"Priority — locate exact reference ID, count pages and transcribe only clearly labeled factual price fields.","A public index explicitly identifies a BMXMuseum JMC flyer-and-price-list set. Exact reference ID, date, page count and individual prices are not exposed."
PKR-CLM-001,Source record,EPH-0012,Vintage JMC Racing Equipment dealer's price list from Azusa collection,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0012/,Corroboration lead — do not merge with BMXMuseum set until directly compared.,"The public result exposes the document description but not a reliable issue date, complete contents or readable line-item prices."
PKR-CLM-001,Source record,EPH-0013,July 1979 JMC advertisement,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0013/,Included — index metadata; do not reproduce image or extended copy.,JMC's historical archive identifies the source as the July 1979 Bicycle Motocross Action issue and says the advertisement appeared over many months. Page and full copy are not transcribed.
PKR-CLM-001,Source record,EPH-0014,April 1981 JMC advertisement,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0014/,Included — preserve claim-level evidence and recover page/issue details.,"The JMC archive identifies Super BMX as the publication and summarizes several claims. Exact page, repeated issues and full advertisement copy remain unresolved."
PKR-CLM-001,Source record,EPH-0015,1981 JMC Factory Team advertisement,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0015/,Included — identify publication/issue and riders shown before detailed extraction.,"The first-party archive confirms the object title and year. Publication, month, issue and complete rider identifications remain unresolved."
PKR-CLM-001,Source record,EPH-0016,JMC 3.1 XL naming-contest announcement,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0016/,Lead — locate the ABA paper issue and announcement; do not imply an exact scan has been found.,JMC's first-party history states the contest ran with Bicycle Harbor of Arizona in the ABA paper and that Matt Raymer supplied the winning name. The announcement itself is not yet located.
PKR-CLM-001,Source record,EPH-0017,1992 GT/Dyno Product Catalog,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0017/,"OPEN — exact reference, full pagination and price labels","Two indexed pages expose $259 and $319, but exact page numbers, currency and price basis are not established."
PKR-CLM-001,Source record,EPH-0018,1996 GT/Dyno — The BMX & Freestyle Catalog,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0018/,OPEN — recover exact reference and compare page count,"A public resale listing describes a 22-page 1996 catalog, but this does not resolve the BMXMuseum ID or prove completeness."
PKR-CLM-001,Source record,EPH-0019,1999 GT/Dyno BMX/Freestyle — Part 2,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0019/,OPEN — locate Part 1 and canonical links,"Only Part 2 is publicly indexed in this pass; Part 1, page range and exact BMXMuseum ID remain open."
PKR-CLM-001,Source record,EPH-0020,Dynamic BMX complete-bike price advertisement,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0020/,INCLUDED — clear prices only,"OCR is uneven. Only clearly legible model/price pairs are preserved; prices are retailer advertisements, not manufacturer MSRP."
PKR-CLM-001,Source record,EPH-0021,Complete-bike mail-order price advertisement,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0021/,INCLUDED — clear prices only,OCR is uneven; the four GT rows retained here are clear enough for a price observation but remain retailer prices.
PKR-CLM-001,Source record,EPH-0022,BMX Plus! / GT Hide-A-Contest entry form,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0022/,INCLUDED — bibliographic facts; prize details open,The indexed page exposes deadline and drawing dates; prize/object details require page-image inspection.
PKR-CLM-001,Source record,EPH-0023,1990 Haro BMX Catalog,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0023/,OPEN — recover BMXMuseum ID and compare file pagination,Official archive confirms the catalog year but does not expose the unresolved BMXMuseum canonical ID in this pass.
PKR-CLM-001,Source record,EPH-0024,1990 Haro Group 1A,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0024/,INCLUDED WITH ATTRIBUTION,BMX-Catalogue presents recreated catalog content; treat as corroboration until checked against Haro's PDF.
PKR-CLM-001,Source record,EPH-0025,1990 Haro Group 1B,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0025/,INCLUDED WITH ATTRIBUTION,Public reconstruction is useful for discovery; original Haro page comparison remains required.
PKR-CLM-001,Source record,EPH-0026,1990 Haro Group 1C,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0026/,INCLUDED WITH ATTRIBUTION,"The 1990 overview explicitly names Group 1A, 1B and 1C; full page detail awaits direct comparison."
PKR-CLM-001,Source record,EPH-0027,1990 Haro Master / Team Master,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0027/,INCLUDED WITH ATTRIBUTION,Claims come from a recreated catalog page; verify wording and availability against the official PDF.
