id,source_object_id,source_record_id,canonical_object_id,brand,product_model,product_type,issue_date,observation_year,price_numeric,currency,displayed_price,price_basis,geography_context,source_type,directness_evidence,confidence,source_url,rights_code,observation_key,duplicate_decision,normalization_note,accessed,source_family,source_identity,access_host,access_route
BM-PRICE-0001,BM-AD-0011,,,JMC Racing,JMC BMX product range,Unresolved / varies,Undated,,,UNCONFIRMED,Not exposed in public index,Price list; dealer vs retail basis unresolved,Unresolved,JMC Racing Fliers and Price List,INDEXED-TITLE + EXTERNAL-CORROBORATION,MEDIUM,https://www.pinterest.com/pin/jmc-bmx-fliers-and-price-list--442478732119429034/,INDEX-ONLY,jmc racing|jmc bmx product range|undated||UNCONFIRMED|https www pinterest com pin jmc bmx fliers and price list 442478732119429034,RETAIN — source-specific observation,"Confirmed set title — locate exact reference ID, pages, date and price columns. Do not infer line-item prices from thumbnails or incomplete snippets.",2026-07-30,BMXMuseum reference lead,BMXMuseum reference lead,pinterest.com,Public index accessed through Pinterest
BM-PRICE-0002,BM-AD-0002,,,GT; Dyno,Interceptor,Unresolved / varies,1992,,259,UNCONFIRMED,$259,Printed catalog price; exact basis unresolved,Unresolved,1992 GT/Dyno Product Catalog,SEARCH-INDEXED-PAGE,MEDIUM,https://www.pinterest.com/pin/430304939389697452/,INDEX-ONLY,gt dyno|interceptor|1992|259.0|UNCONFIRMED|https www pinterest com pin 430304939389697452,DUP-PRICE-1992-259 — merge numeric observation; retain source row,"Observed in public index — verify exact page, configuration, currency and price basis. Do not label as MSRP, dealer cost or sale price until the page heading/legend is inspected.",2026-07-30,Public index lead,Public index lead,pinterest.com,Public index accessed through Pinterest
BM-PRICE-0003,BM-AD-0002,,,GT; Dyno,Blue bicycle; exact model unresolved,Unresolved / varies,1992,,319,UNCONFIRMED,$319,Printed catalog price; exact basis unresolved,Unresolved,1992 GT/Dyno Product Catalog,SEARCH-INDEXED-PAGE,LOW-MEDIUM,https://mx.pinterest.com/pin/430304939389697467/,INDEX-ONLY,gt dyno|blue bicycle exact model unresolved|1992|319.0|UNCONFIRMED|https mx pinterest com pin 430304939389697467,DUP-PRICE-1992-319 — merge numeric observation; retain source row,Retain model as unresolved until the page and adjacent catalog context are inspected. Price observation is preserved separately from model identification.,2026-07-30,mx.pinterest.com,mx.pinterest.com,mx.pinterest.com,Direct public route at mx.pinterest.com
BM-PRICE-0004,BM-AD-0012,,,JMC Racing,JMC Racing equipment,Unresolved / varies,Undated vintage document; public post 2026,,,UNCONFIRMED,Not exposed in public index,Dealer price list per public description,Unresolved,Vintage JMC Racing Equipment dealer's price list from Azusa collection,EXTERNAL-PUBLIC-LEAD,LOW-MEDIUM,https://www.facebook.com/groups/553888658024748/posts/27080185384968381/,INDEX-ONLY,jmc racing|jmc racing equipment|undated vintage document public post 2026||UNCONFIRMED|https www facebook com groups 553888658024748 posts 27080185384968381,RETAIN — source-specific observation,Corroboration only — compare against BM-PRICE-0001 before merging records. The collection/post context is not automatically the original document issuer or dealer.,2026-07-30,Public JMC collection post,Public JMC collection post,facebook.com,Public social access route at facebook.com
GTD-PR-0001,BM-AD-0002,,,GT,Interceptor,Complete bicycle,1992,,259,UNCONFIRMED,$259,Printed catalog price; exact basis unresolved,Market unresolved,Indexed catalog page,Indexed observation,MEDIUM,https://www.pinterest.com/pin/430304939389697452/,INDEX-ONLY,gt|interceptor|1992|259|UNCONFIRMED|https www pinterest com pin 430304939389697452,DUP-PRICE-1992-259 — merge numeric observation; retain source row,Numeric value normalized; currency intentionally not assumed.,2026-07-30,Public index lead,Public index lead,pinterest.com,Public index accessed through Pinterest
GTD-PR-0002,BM-AD-0002,,,GT/Dyno,Blue bicycle; model unresolved,Complete bicycle,1992,,319,UNCONFIRMED,$319,Printed catalog price; exact basis unresolved,Market unresolved,Indexed catalog page,Indexed observation,LOW-MEDIUM,https://mx.pinterest.com/pin/430304939389697467/,INDEX-ONLY,gt dyno|blue bicycle model unresolved|1992|319|UNCONFIRMED|https mx pinterest com pin 430304939389697467,DUP-PRICE-1992-319 — merge numeric observation; retain source row,Model and currency remain unresolved.,2026-07-30,mx.pinterest.com,mx.pinterest.com,mx.pinterest.com,Direct public route at mx.pinterest.com
GTD-PR-0003,GTD-OBJ-0004,,,Dyno,Dinky Dyno 16-inch,Complete bicycle,Aug 1987,,119,USD,$119,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,dyno|dinky dyno 16 inch|aug 1987|119|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0004,GTD-OBJ-0004,,,Dyno,Compe,Complete bicycle,Aug 1987,,149,USD,$149,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,dyno|compe|aug 1987|149|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0005,GTD-OBJ-0004,,,Dyno,D-Tour,Complete bicycle,Aug 1987,,189,USD,$189,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,dyno|d tour|aug 1987|189|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
GTD-PR-0006,GTD-OBJ-0004,,,Dyno,Pro Compe,Complete bicycle,Aug 1987,,279,USD,$279,Advertised retailer/mail-order price,United States publication context,Period retailer advertisement,Direct text/OCR; clear pair,MEDIUM-HIGH,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,INDEX-ONLY,dyno|pro compe|aug 1987|279|USD|https previouspage co uk issues 245 august nineteen eighty seven,RETAIN — source-specific observation,Not manufacturer MSRP.,2026-07-30,BMX Plus!,BMX Plus!,previouspage.co.uk,Publication accessed through PreviousPage
