source_record_id,route,canonical_url,file,robots,source_identity,access_host,deployment_state
EPH-0001,/lititzbmx-public-knowledge-register/records/EPH-0001/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0001/,records/EPH-0001/index.html,"noindex,nofollow",BMXMuseum reference lead,pinterest.com,offline staging
EPH-0002,/lititzbmx-public-knowledge-register/records/EPH-0002/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0002/,records/EPH-0002/index.html,"noindex,nofollow",BMXMuseum reference lead,in.pinterest.com,offline staging
EPH-0003,/lititzbmx-public-knowledge-register/records/EPH-0003/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0003/,records/EPH-0003/index.html,"noindex,nofollow",BMXMuseum reference lead,pinterest.com,offline staging
EPH-0004,/lititzbmx-public-knowledge-register/records/EPH-0004/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0004/,records/EPH-0004/index.html,"noindex,nofollow",Haro catalog record,storage.googleapis.com,offline staging
EPH-0005,/lititzbmx-public-knowledge-register/records/EPH-0005/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0005/,records/EPH-0005/index.html,"noindex,nofollow",BMXMuseum reference lead,pinterest.com,offline staging
EPH-0006,/lititzbmx-public-knowledge-register/records/EPH-0006/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0006/,records/EPH-0006/index.html,"noindex,nofollow",BMXMuseum,bmxmuseum.com,offline staging
EPH-0007,/lititzbmx-public-knowledge-register/records/EPH-0007/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0007/,records/EPH-0007/index.html,"noindex,nofollow",BMXMuseum,bmxmuseum.com,offline staging
EPH-0008,/lititzbmx-public-knowledge-register/records/EPH-0008/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0008/,records/EPH-0008/index.html,"noindex,nofollow",Edward Koenning archive,edwardkoenning.blogspot.com,offline staging
EPH-0009,/lititzbmx-public-knowledge-register/records/EPH-0009/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0009/,records/EPH-0009/index.html,"noindex,nofollow",Torker Racing archive,torkerracing.com,offline staging
EPH-0010,/lititzbmx-public-knowledge-register/records/EPH-0010/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0010/,records/EPH-0010/index.html,"noindex,nofollow",BMXMuseum,bmxmuseum.com,offline staging
EPH-0011,/lititzbmx-public-knowledge-register/records/EPH-0011/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0011/,records/EPH-0011/index.html,"noindex,nofollow",BMXMuseum reference lead,pinterest.com,offline staging
EPH-0012,/lititzbmx-public-knowledge-register/records/EPH-0012/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0012/,records/EPH-0012/index.html,"noindex,nofollow",Public JMC collection post,facebook.com,offline staging
EPH-0013,/lititzbmx-public-knowledge-register/records/EPH-0013/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0013/,records/EPH-0013/index.html,"noindex,nofollow",JMC historical archive,jmcbmx.wordpress.com,offline staging
EPH-0014,/lititzbmx-public-knowledge-register/records/EPH-0014/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0014/,records/EPH-0014/index.html,"noindex,nofollow",JMC historical archive,jmcbmx.wordpress.com,offline staging
EPH-0015,/lititzbmx-public-knowledge-register/records/EPH-0015/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0015/,records/EPH-0015/index.html,"noindex,nofollow",JMC historical archive,jmcbmx.wordpress.com,offline staging
EPH-0016,/lititzbmx-public-knowledge-register/records/EPH-0016/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0016/,records/EPH-0016/index.html,"noindex,nofollow",JMC historical archive,jmcbmx.wordpress.com,offline staging
EPH-0017,/lititzbmx-public-knowledge-register/records/EPH-0017/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0017/,records/EPH-0017/index.html,"noindex,nofollow",BMXMuseum reference lead,in.pinterest.com,offline staging
EPH-0018,/lititzbmx-public-knowledge-register/records/EPH-0018/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0018/,records/EPH-0018/index.html,"noindex,nofollow",BMXMuseum reference lead,pinterest.com,offline staging
EPH-0019,/lititzbmx-public-knowledge-register/records/EPH-0019/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0019/,records/EPH-0019/index.html,"noindex,nofollow",BMXMuseum reference lead,pinterest.com,offline staging
EPH-0020,/lititzbmx-public-knowledge-register/records/EPH-0020/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0020/,records/EPH-0020/index.html,"noindex,nofollow",BMX Plus!,previouspage.co.uk,offline staging
EPH-0021,/lititzbmx-public-knowledge-register/records/EPH-0021/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0021/,records/EPH-0021/index.html,"noindex,nofollow",BMX Plus!,previouspage.co.uk,offline staging
EPH-0022,/lititzbmx-public-knowledge-register/records/EPH-0022/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0022/,records/EPH-0022/index.html,"noindex,nofollow",BMX Plus!,previouspage.co.uk,offline staging
EPH-0023,/lititzbmx-public-knowledge-register/records/EPH-0023/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0023/,records/EPH-0023/index.html,"noindex,nofollow",Haro official archive,archive.harobikes.com,offline staging
EPH-0024,/lititzbmx-public-knowledge-register/records/EPH-0024/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0024/,records/EPH-0024/index.html,"noindex,nofollow",BMX Catalogue archive,bmx-catalogue.com,offline staging
EPH-0025,/lititzbmx-public-knowledge-register/records/EPH-0025/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0025/,records/EPH-0025/index.html,"noindex,nofollow",BMX Catalogue archive,bmx-catalogue.com,offline staging
EPH-0026,/lititzbmx-public-knowledge-register/records/EPH-0026/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0026/,records/EPH-0026/index.html,"noindex,nofollow",BMX Catalogue archive,bmx-catalogue.com,offline staging
EPH-0027,/lititzbmx-public-knowledge-register/records/EPH-0027/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0027/,records/EPH-0027/index.html,"noindex,nofollow",BMX Catalogue archive,bmx-catalogue.com,offline staging
EPH-0028,/lititzbmx-public-knowledge-register/records/EPH-0028/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0028/,records/EPH-0028/index.html,"noindex,nofollow",BMX Catalogue archive,bmx-catalogue.com,offline staging
EPH-0029,/lititzbmx-public-knowledge-register/records/EPH-0029/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0029/,records/EPH-0029/index.html,"noindex,nofollow",BMX Catalogue archive,bmx-catalogue.com,offline staging
EPH-0030,/lititzbmx-public-knowledge-register/records/EPH-0030/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0030/,records/EPH-0030/index.html,"noindex,nofollow",GO,previouspage.co.uk,offline staging
EPH-0031,/lititzbmx-public-knowledge-register/records/EPH-0031/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0031/,records/EPH-0031/index.html,"noindex,nofollow",BMXMuseum,bmxmuseum.com,offline staging
EPH-0032,/lititzbmx-public-knowledge-register/records/EPH-0032/,https://article134-tech.github.io/lititzbmx-public-knowledge-register/records/EPH-0032/,records/EPH-0032/index.html,"noindex,nofollow",The CABE,thecabe.com,offline staging
